,POS,TEAM,MATCHES,POINTS,RATING
0,1,New ZealandNZ,12,"1,505",125
1,2,EnglandENG,19,"2,353",124
2,3,AustraliaAUS,18,"1,929",107
3,4,IndiaIND,22,"2,304",105
4,5,PakistanPAK,16,"1,635",102
5,6,South AfricaSA,19,"1,872",99
6,7,BangladeshBAN,24,"2,275",95
7,8,Sri LankaSL,24,"2,086",87
8,9,West IndiesWI,26,"1,885",73
9,10,AfghanistanAFG,15,986,66
10,11,IrelandIRE,20,"1,083",54
11,12,ScotlandSCO,14,698,50
12,13,UAEUAE,15,582,39
13,14,NetherlandsNED,12,459,38
14,15,ZimbabweZIM,14,488,35
15,16,OmanOMA,26,835,32
16,17,NamibiaNAM,11,246,22
17,18,United StatesUSA,12,232,19
18,19,NepalNEP,14,232,17
19,20,Papua New GuineaPNG,22,134,6
