,Name of movie,Year of relase,Watchtime,Genre,Movie Rating,Votes
0,The Boys,2019,60,"Action, Crime, Drama",8.7,"375,674"
1,Bosch: Legacy,2022,50,"Crime, Drama",8.7,"10,022"
2,Night Sky,2022,55,"Adventure, Drama, Fantasy",7.4,"8,195"
3,This Is Us,2016–2022,45,"Comedy, Drama, Romance",8.7,"136,999"
4,The Office,2005–2013,22,Comedy,9.0,"548,414"
5,Aquaman,2018,143,"Action, Adventure, Fantasy",6.8,"456,393"
6,Outlander,2014,60,"Drama, Fantasy, Romance",8.4,"154,355"
7,Fear the Walking Dead,2015,44,"Drama, Horror, Sci-Fi",6.8,"127,529"
8,Friends,1994–2004,22,"Comedy, Romance",8.9,"955,558"
9,Outer Range,2022,60,"Drama, Mystery, Thriller",7.1,"19,398"
10,Chicago Fire,2012,43,"Action, Drama",8.0,"55,319"
11,The Big Bang Theory,2007–2019,22,"Comedy, Romance",8.2,"785,192"
12,Vikings,2013–2020,44,"Action, Adventure, Drama",8.5,"511,438"
13,Midsomer Murders,1997,90,"Crime, Drama, Mystery",7.9,"32,075"
14,Once Upon a Time in... Hollywood,2019,161,"Comedy, Drama",7.6,"692,653"
15,Bosch,2014–2021,51,"Crime, Drama",8.5,"66,716"
16,Panchayat,2020,35,"Comedy, Drama",8.9,"63,140"
17,Lucifer,2016–2021,42,"Crime, Drama, Fantasy",8.1,"309,781"
18,The Handmaid's Tale,2017,60,"Drama, Sci-Fi, Thriller",8.4,"217,872"
19,Family Guy,1999,22,"Animation, Comedy",8.2,"328,861"
20,The Wilds,2020,60,"Adventure, Drama, Mystery",7.2,"18,402"
21,How I Met Your Mother,2005–2014,22,"Comedy, Romance",8.3,"664,801"
22,Star Trek: Picard,2020,46,"Action, Adventure, Drama",7.3,"67,633"
23,Lost,2004–2010,44,"Adventure, Drama, Fantasy",8.4,"538,333"
24,Reacher,2022,49,"Action, Crime, Drama",8.1,"100,419"
25,Chicago P.D.,2014,43,"Action, Crime, Drama",8.1,"36,852"
26,The Contractor,2022,103,"Action, Thriller",5.8,"13,239"
27,Community,2009–2015,22,Comedy,8.5,"254,445"
28,The Dark Knight,2008,152,"Action, Crime, Drama",9.0,"2,568,054"
29,Mission: Impossible - Fallout,2018,147,"Action, Adventure, Thriller",7.7,"323,410"
30,New Amsterdam,2018,43,Drama,8.0,"36,072"
31,Parks and Recreation,2009–2015,22,Comedy,8.6,"249,329"
32,Deep Water,2022,115,"Drama, Mystery, Thriller",5.4,"37,221"
33,Mad Men,2007–2015,47,Drama,8.7,"232,661"
34,The Marvelous Mrs. Maisel,2017,57,"Comedy, Drama",8.7,"109,840"
35,The Lord of the Rings: The Rings of Power,2022,***,"Action, Adventure, Drama",***,***
36,K.G.F: Chapter 2,2022,168,"Action, Crime, Drama",8.6,"105,946"
37,The Expanse,2015–2022,60,"Drama, Mystery, Sci-Fi",8.5,"147,840"
38,Inception,2010,148,"Action, Adventure, Sci-Fi",8.8,"2,278,705"
39,Zack Snyder's Justice League,2021,242,"Action, Adventure, Fantasy",8.0,"380,215"
40,Jack Ryan,2018,60,"Action, Drama, Thriller",8.0,"112,227"
41,Invincible,2021,50,"Animation, Action, Adventure",8.7,"116,972"
42,Wrath of Man,2021,119,"Action, Crime, Thriller",7.1,"164,060"
43,Mr. Robot,2015–2019,49,"Crime, Drama, Thriller",8.6,"375,544"
44,Mission: Impossible,1996,110,"Action, Adventure, Thriller",7.1,"416,674"
