,Trends,Volume
0,#SquatMorrison,
1,Rabs,
2,Happy Pride Month,253943.0
3,Ray Warren,
4,liam payne,68243.0
5,Kirribilli,
6,Billy Bragg,
7,Nadal,286977.0
8,#RolandGarros,197573.0
9,Winter,131759.0
10,Dutton,16022.0
11,#BBAU,
12,#BTSatTheWhiteHouse,1640624.0
13,Environment,97083.0
14,Ministry,49094.0
15,#afternoonbriefing,
16,Minister,304231.0
17,jungkook,1169381.0
18,Cabinet,44524.0
19,wake in fright,
20,Samantha Maiden,
21,Rugby League,
22,NDIS,
23,Warwick Farm,
24,Daily Quordle 127,
25,logan paul,19029.0
26,Kate Bush,25813.0
27,Star Wars,189044.0
28,andrew leigh,
29,Chris Bowen,
30,Congratulations Mark,
31,sarah ferguson,
32,Anne Aly,
33,Forgotten Australians,
34,congratulations bill,
35,Jane Norman,
36,Prue,
37,Ed Husic,
38,Montana,21139.0
39,Mark Dreyfus,
40,Congratulations Ged,
41,Novak,70829.0
42,Linda Burney,
43,Freezing,15791.0
44,death in brunswick,
45,Government House,
46,Fast & Furious,10539.0
47,Dan Andrews,
48,Sandown,
49,Reva,44858.0
