,Trends,Volume
0,#KKPassesAway,
1,#TriumphantTelangana,34597.0
2,#BoyapatiRAPO,
3,#RIPKK,97122.0
4,#KKsinger,10248.0
5,Countdown Begins In SSR Case,25095.0
6,Happy Pride,348289.0
7,liam payne,70771.0
8,Om Shanti,60062.0
9,राम मंदिर,18025.0
10,Justice Still Awaited,93465.0
11,jungkook,1169852.0
12,Anyay Kab Tak,94320.0
13,Rs 135,
14,Emraan Hashmi,
15,Rajghat,
16,Logan Paul,19677.0
17,Modi Government,
18,Ease of Doing Business,
19,श्री गणेश,25965.0
20,Tadap Tadap,
21,BTS BTS BTS,2441800.0
22,Yaaron,
23,Kal Yaad Aayenge Yeh Pal,
24,Hum Rahe Ya Na Rahe Kal,
25,Hindus and Muslims,27155.0
26,Akshay Kumar,11506.0
27,Nazrul Mancha,
28,KK Sir,18479.0
29,rip sir,
30,Not KK,22790.0
31,Khuda Jaane,
32,Alvida,
33,#2DaysToSamratPrithviraj,
34,#Teachings_Of_LordKabir,827800.0
35,#KKLIVE,
36,#KKforever,
37,#WorldMilkDay,40087.0
38,#8YearsOfEODB,20359.0
39,#सबके_राम_सबके_योगी,18599.0
40,#ITisTelangana,16196.0
41,#RIPLegend,
42,#Ayodhya,
43,#KrishnakumarKunnath,11903.0
44,#wednesdaythought,
45,#GlobalDayofParents,
46,#RamMandir,
47,#Suriya,18725.0
48,#parentsday,
49,#HappyBirthdayMadhavan,
