,Trends,Volume
0,#PrideMonth,47463.0
1,Nadal,286259.0
2,#score,
3,Neutralität,
4,#BTSatTheWhiteHouse,1714500.0
5,#Rammstein,
6,#KohLanta,12765.0
7,Zverev,46686.0
8,Alcaraz,45078.0
9,Eurosport,
10,Federer,
11,Darmanin,59914.0
12,Juni 2022,38589.0
13,COVID-19,126408.0
14,Balti,
15,Kapitalismus,
16,Position,141488.0
17,Gesetze,
18,svpler,
19,Ständerat,
20,États,11015.0
21,Mona Lisa,17736.0
22,ungarn,
23,Russes,15454.0
24,Le Conseil,
25,Speriamo,
26,Lukaku,31348.0
27,Stade de France,72193.0
28,Praxis,
29,Portugal,45754.0
30,Suisses,
31,Ausland,
32,Runde,
33,Projekte,
34,Konzert,
35,Thomas,208683.0
36,Dybala,
37,Produktion,
38,Wikipedia,41005.0
39,felix,123122.0
40,Orban,12720.0
41,Britain,37860.0
42,Spruch,
43,Länder,
44,Kommunismus,
45,Memorial Day,131233.0
46,Sozialismus,
47,Wunder,
48,Knie,
49,Bank,208729.0
