,Trends,Volume
0,#mlrsforukrainenow,
1,Swift,77491.0
2,$ZEND,
3,Google,574192.0
4,#StarkNet,
5,Lysychansk,
6,he is a ukrainian,
7,HIMARS,11191.0
8,#zkLend,
9,Slovakia,
10,Sberbank,
11,Reuters,154660.0
12,Dimash,88588.0
13,Украины,17770.0
14,#FlyAway,76237.0
15,#Azovstal,
16,Biden,906642.0
17,European Union,17894.0
18,DeFi,174461.0
19,донецк,
20,Lviv,
21,korellia,
22,Estonia,
23,азовстали,
24,The EU,170667.0
25,Путина,
26,одессе,
27,Turkey,92654.0
28,Popasna,
29,Syria,17075.0
30,харькова,
31,USSR,
32,0.1 $ETH,30998.0
33,Рада,
34,Окей,
35,Крыму,
36,Боже,
37,Bakhmut,
38,Давай,
39,Kherson,22633.0
40,Orban,12675.0
41,Crimean,
42,Правильно,
43,Mariupol,30952.0
44,Kalush Orchestra,
45,greek,22413.0
46,Кстати,
47,Красиво,
48,Ясно,
49,мелитополе,
