,Trends,Volume
0,Happy Pride Month,252770.0
1,#wednesdaythought,
2,#RoseWednesday,
3,Daily Quordle 128,
4,Dominic Raab,
5,#EarlyBiz,
6,#June1st,
7,#JohnsonOut128,
8,Wordle 347 X,
9,Madeley,
10,Father Ted,
11,White Rabbits,
12,1st of June,51698.0
13,Happy New Month,44919.0
14,liam payne,68058.0
15,Ewan,61292.0
16,Bradford,21154.0
17,Welby,
18,Prince Andrew,13025.0
19,Rwanda,52270.0
20,Missguided,
21,Moses,79091.0
22,Nadal,286720.0
23,Archbishop,15519.0
24,jungkook,1173982.0
25,logan paul,19007.0
26,Star Trek,15107.0
27,Lord Geidt,13430.0
28,Shaun,10121.0
29,City of Culture,11970.0
30,novak,70765.0
31,#FFBWednesday,
32,#WednesdayMotivation,
33,#GlobalRunningDay,
34,#June2022,
35,#VolunteersWeek2022,
36,#30DaysWild,
37,#loveislove,
38,#JubileeWeekend,
39,#RolandGarros,197502.0
40,#FrenchOpen,18434.0
